UNITID,SCFA1N,SCFA1P,SCFA11N,SCFA11P,SCFA12N,SCFA12P,SCFA13N,SCFA13P,SCFA14N,SCFA14P,SCFA2,SCFY1N,SCFY1P,SCFY2,ANYAIDN,ANYAIDP,FGRNT_N,FGRNT_P,FGRNT_A,SGRNT_N,SGRNT_P,SGRNT_A,IGRNT_N,IGRNT_P,IGRNT_A,LOAN_N,LOAN_P,LOAN_A,SCUGFFN,SCUGRAD,UAGRNTT,UPGRNTN,AGRNT_N,AGRNT_P,AGRNT_A,PGRNT_N,PGRNT_P,PGRNT_A,OFGRT_N,OFGRT_P,OFGRT_A,FLOAN_N,FLOAN_P,FLOAN_A,OLOAN_N,OLOAN_P,OLOAN_A,UAGRNTN,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANN,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP,SCUGDGSK,SCUGNDGS,SCFA2DG,SCFY2DG,SCFY2ND,UDGAGRNTN,UDGAGRNTP,UDGAGRNTT,UDGAGRNTA,UNDAGRNTN,UNDAGRNTP,UNDAGRNTT,UNDAGRNTA,UDGPGRNTP,UDGFLOANP
150163,1130.0,25.0,,,,,,,,,4537.0,,,,1112.0,98.0,181.0,16.0,6035.0,91.0,8.0,7125.0,1102.0,98.0,24172.0,555.0,49.0,11152.0,1130,4537,95627781.0,612,1103.0,98.0,25728.0,180.0,16.0,5176.0,84.0,7.0,1914.0,544.0,48.0,5575.0,137.0,12.0,23040.0,4212,93,22704.0,13,2971887.0,4856.0,1814,40,12940187.0,7134.0,28377727.0,1092337.0,931602.0,160735.0,648345.0,26637045.0,6189387.0,3032913.0,3156474.0,1110.0,98.0,4388,149,4388.0,,,4212,96,95627781.0,22704.0,0,0,0.0,,14.0,41.0
150172,103.0,20.0,,,,,,,,,525.0,,,,103.0,100.0,67.0,65.0,5369.0,35.0,34.0,7428.0,103.0,100.0,8516.0,73.0,71.0,6108.0,103,525,6004600.0,245,103.0,100.0,14532.0,67.0,65.0,5228.0,17.0,17.0,555.0,73.0,71.0,5882.0,1.0,1.0,16500.0,512,98,11728.0,47,1223810.0,4995.0,297,57,2102372.0,7079.0,1496825.0,359735.0,350305.0,9430.0,259975.0,877115.0,445853.0,429353.0,16500.0,103.0,100.0,524,1,524.0,,,511,98,6004029.0,11750.0,1,100,571.0,571.0,47.0,57.0
150251,3.0,2.0,,,,,,,,,195.0,,,,3.0,100.0,2.0,67.0,5634.0,0.0,0.0,,0.0,0.0,,3.0,100.0,13773.0,3,195,319102.0,66,2.0,67.0,5634.0,2.0,67.0,5254.0,2.0,67.0,380.0,3.0,100.0,13773.0,0.0,0.0,,73,37,4371.0,34,292851.0,4437.0,111,57,1087374.0,9796.0,11268.0,11268.0,10508.0,760.0,0.0,0.0,41319.0,41319.0,0.0,3.0,100.0,186,9,186.0,,,73,39,319102.0,4371.0,0,0,0.0,,35.0,60.0
150303,,,,,,,,,,,,60.0,11.0,528.0,56.0,93.0,43.0,72.0,4479.0,0.0,0.0,,31.0,52.0,2411.0,54.0,90.0,6835.0,60,528,1754024.0,311,46.0,77.0,5812.0,43.0,72.0,4312.0,11.0,18.0,655.0,54.0,90.0,6835.0,0.0,0.0,,331,63,5299.0,59,1329437.0,4275.0,318,60,2149265.0,6759.0,267360.0,192604.0,185404.0,7200.0,0.0,74756.0,369101.0,369101.0,0.0,55.0,92.0,528,0,,528.0,0.0,331,63,1754024.0,5299.0,0,0,0.0,,59.0,60.0
150400,500.0,29.0,,,,,,,,,1724.0,,,,498.0,100.0,72.0,14.0,6038.0,37.0,7.0,7344.0,498.0,100.0,39648.0,184.0,37.0,5055.0,500,1724,62236859.0,282,498.0,100.0,41067.0,72.0,14.0,4893.0,70.0,14.0,1179.0,139.0,28.0,5210.0,46.0,9.0,4478.0,1674,97,37179.0,16,1316468.0,4668.0,583,34,3774049.0,6473.0,20451325.0,434760.0,352260.0,82500.0,271726.0,19744839.0,930176.0,724176.0,206000.0,498.0,100.0,1708,16,1708.0,,,1674,98,62236859.0,37179.0,0,0,0.0,,17.0,34.0
150428,,,,,,,,,,,,15.0,29.0,52.0,10.0,67.0,8.0,53.0,4444.0,0.0,0.0,,0.0,0.0,,7.0,47.0,6531.0,15,52,86037.0,26,8.0,53.0,4444.0,8.0,53.0,4444.0,0.0,0.0,,7.0,47.0,6531.0,0.0,0.0,,26,50,3309.0,50,86037.0,3309.0,32,62,214165.0,6693.0,35549.0,35549.0,35549.0,0.0,0.0,0.0,45719.0,45719.0,0.0,10.0,67.0,52,0,,52.0,0.0,26,50,86037.0,3309.0,0,0,0.0,,50.0,62.0
150455,171.0,26.0,,,,,,,,,658.0,,,,171.0,100.0,32.0,19.0,8088.0,15.0,9.0,6686.0,171.0,100.0,35203.0,78.0,46.0,7823.0,171,658,21965254.0,164,171.0,100.0,37303.0,32.0,19.0,5430.0,24.0,14.0,3544.0,76.0,44.0,5241.0,12.0,7.0,17660.0,648,98,33897.0,25,836177.0,5099.0,280,43,1693392.0,6048.0,6378743.0,258815.0,173755.0,85060.0,100295.0,6019633.0,610197.0,398283.0,211914.0,171.0,100.0,653,5,653.0,,,648,99,21965254.0,33897.0,0,0,0.0,,25.0,43.0
150534,327.0,18.0,,,,,,,,,1796.0,,,,327.0,100.0,324.0,99.0,2893.0,86.0,26.0,6819.0,327.0,100.0,29407.0,174.0,53.0,8363.0,327,1796,47928800.0,379,327.0,100.0,34067.0,87.0,27.0,4878.0,324.0,99.0,1583.0,172.0,53.0,5242.0,35.0,11.0,15812.0,1562,87,30684.0,21,1842988.0,4863.0,771,43,5153570.0,6684.0,11139802.0,937401.0,424413.0,512988.0,586435.0,9615966.0,1455094.0,901665.0,553429.0,327.0,100.0,1554,242,1554.0,,,1537,99,47890294.0,31158.0,25,10,38506.0,1540.0,24.0,50.0
150604,253.0,28.0,,,,,,,,,899.0,,,,253.0,100.0,117.0,46.0,5536.0,130.0,51.0,7045.0,253.0,100.0,22110.0,208.0,82.0,10266.0,253,899,25835108.0,352,253.0,100.0,28290.0,117.0,46.0,4780.0,97.0,38.0,912.0,208.0,82.0,8131.0,25.0,10.0,17767.0,880,98,29358.0,39,1761241.0,5004.0,607,68,5901440.0,9722.0,7157365.0,647739.0,559239.0,88500.0,915795.0,5593831.0,2135406.0,1691241.0,444165.0,253.0,100.0,880,19,880.0,,,880,100,25835108.0,29358.0,0,0,0.0,,40.0,69.0
150668,183.0,24.0,,,,,,,,,749.0,,,,183.0,100.0,66.0,36.0,7463.0,53.0,29.0,8079.0,183.0,100.0,23668.0,100.0,55.0,6717.0,183,749,18524739.0,236,183.0,100.0,28700.0,64.0,35.0,6471.0,55.0,30.0,1425.0,99.0,54.0,5129.0,9.0,5.0,18214.0,709,95,26128.0,32,1190792.0,5046.0,398,53,2631200.0,6611.0,5252080.0,492563.0,414163.0,78400.0,428209.0,4331308.0,671723.0,507799.0,163924.0,183.0,100.0,725,24,725.0,,,704,97,18478679.0,26248.0,5,21,46060.0,9212.0,33.0,55.0
