UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
235671,236.0,1194.0,20.0,142.0,0.0,0.0,142.0,87.0,61.0,11.0,0.0,0.0,11.0,4.0,36.0,23.0
235699,271.0,1111.0,24.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,16.0
235750,353.0,766.0,46.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13.0
236018,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0
236072,434.0,1999.0,22.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,17.0
236133,151.0,269.0,56.0,156.0,0.0,0.0,156.0,126.0,81.0,0.0,0.0,0.0,0.0,0.0,,9.0
236188,581.0,1601.0,36.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,17.0
236212,,,,211.0,0.0,0.0,211.0,183.0,87.0,,,,,,,16.0
236230,526.0,695.0,76.0,510.0,2.0,0.0,508.0,396.0,78.0,0.0,0.0,0.0,0.0,0.0,,11.0
236258,161.0,460.0,35.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0
236328,405.0,445.0,91.0,409.0,0.0,0.0,409.0,322.0,79.0,0.0,0.0,0.0,0.0,0.0,,9.0
236382,224.0,908.0,25.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9.0
236452,292.0,476.0,61.0,345.0,0.0,0.0,345.0,242.0,70.0,3.0,0.0,0.0,3.0,1.0,33.0,11.0
236504,367.0,1768.0,21.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,32.0
236513,662.0,1599.0,41.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,17.0
