UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
164313,1,1,,0.0,131.0,,63429.0,,0.0,,63560.0,63560.0,,0.0,0.0,1,32.0,1.0,1.0,4.0,1.0,2.5,0.0,0.5,1.0,176577.0,2,0.0,0.0,96512.0,0.0,96512.0,0.0,27629.0,27629.0,300718.0,300718.0
164368,1,2,2231.0,254134.0,13.0,0.0,0.0,0.0,45387.0,2231.0,299534.0,301765.0,192.0,97300.0,97492.0,2,,,2.0,,,,,,0.0,0.0,2,0.0,0.0,0.0,148050.0,148050.0,0.0,0.0,0.0,148050.0,148050.0
164447,1,2,40758.0,15282.0,86.0,94.0,106.0,71.0,1295.0,40923.0,16769.0,57692.0,2575.0,91406.0,93981.0,1,134.0,308.0,1.0,17.0,4.0,3.0,0.0,10.0,1.0,355980.0,2,0.0,4546.0,318896.0,878.0,324320.0,0.0,20522.0,20522.0,700822.0,700822.0
164465,1,2,911082.0,1506645.0,325.0,41728.0,233742.0,25160.0,328669.0,977970.0,2069381.0,3047351.0,15741.0,282524.0,298265.0,1,16489.0,17216.0,1.0,48.1,16.0,11.0,14.0,7.1,2.0,3227246.0,2,0.0,359654.0,2018290.0,212631.0,2590575.0,96264.0,1322362.0,1418626.0,7236447.0,7236447.0
164492,1,2,58577.0,258509.0,102.0,3069.0,4275.0,1659.0,98880.0,63305.0,361766.0,425071.0,832.0,26875.0,27707.0,1,211.0,191.0,1.0,4.5,2.0,0.0,0.0,2.5,0.0,130394.0,1,38154.0,4886.0,64921.0,22562.0,92369.0,0.0,24780.0,24780.0,285697.0,247543.0
164562,1,2,124873.0,225556.0,65.0,1243.0,99865.0,2747.0,40419.0,128863.0,365905.0,494768.0,921.0,93233.0,94154.0,1,796.0,1202.0,1.0,8.6,5.0,0.0,1.0,2.6,0.0,429851.0,1,77542.0,46442.0,339718.0,5523.0,391683.0,0.0,34399.0,34399.0,933475.0,855933.0
164580,1,2,34152.0,452128.0,285.0,1119.0,115969.0,501.0,112807.0,35772.0,681189.0,716961.0,966.0,16750.0,17716.0,1,850.0,414.0,1.0,17.81,7.91,0.0,3.36,6.54,0.0,830628.0,1,170644.0,51873.0,1163582.0,430.0,1215885.0,4749.0,173596.0,178345.0,2395502.0,2224858.0
164614,2,2,72174.0,260000.0,0.0,0.0,0.0,0.0,0.0,72174.0,260000.0,332174.0,1317.0,2047.0,3364.0,2,,,1.0,2.0,0.5,0.0,0.0,1.5,,,-2,,,,,,,,,,
164632,1,2,37937.0,520111.0,118.0,3778.0,44279.0,11.0,109227.0,41726.0,673735.0,715461.0,674.0,429551.0,430225.0,1,1205.0,751.0,1.0,12.0,6.0,2.0,0.0,4.0,0.0,280725.0,1,51083.0,38368.0,469964.0,58322.0,566654.0,0.0,5649.0,5649.0,904111.0,853028.0
164641,1,1,,206989.0,8.0,,50967.0,,53990.0,,311954.0,311954.0,,8658.0,8658.0,1,0.0,23.0,1.0,1.65,1.0,0.0,0.65,0.0,1.0,51132.0,1,16419.0,3353.0,55475.0,0.0,58828.0,0.0,3957.0,3957.0,130336.0,113917.0
164739,1,2,157328.0,531101.0,220.0,7157.0,118225.0,2102.0,122881.0,166587.0,772427.0,939014.0,7812.0,21635.0,29447.0,1,3147.0,1705.0,1.0,24.0,11.5,6.5,0.0,6.0,0.0,1345748.0,1,420414.0,153778.0,1629059.0,226031.0,2008868.0,34000.0,60922.0,94922.0,3869952.0,3449538.0
164748,1,2,61349.0,91372.0,195.0,73619.0,1598137.0,11.0,1846.0,134979.0,1691550.0,1826529.0,12370.0,1772006.0,1784376.0,1,338.0,1531.0,1.0,87.0,8.0,14.0,0.0,65.0,3.0,2244184.0,2,0.0,28958.0,338018.0,19794.0,386770.0,78653.0,63903.0,142556.0,2773510.0,2773510.0
